13732, write, /home/sidharth/AOS_Project/dummy_filesystem/testfile1, pending
13732, write, /home/sidharth/AOS_Project/dummy_filesystem/testfile1, commit
13732, write, /home/sidharth/AOS_Project/dummy_filesystem/testfile1, end
25200, write, /home/sidharth/AOS_Project/dummy_filesystem/testfile1, pending
25200, write, /home/sidharth/AOS_Project/dummy_filesystem/testfile1, abort
30808, write, /home/sidharth/AOS_Project/dummy_filesystem/testfile1, pending
30808, write, /home/sidharth/AOS_Project/dummy_filesystem/testfile1, abort
24526, write, /home/sidharth/AOS_Project/dummy_filesystem/testfile1, pending
24526, write, /home/sidharth/AOS_Project/dummy_filesystem/testfile1, commit
24526, write, /home/sidharth/AOS_Project/dummy_filesystem/testfile1, abort
35517, write, /home/sidharth/AOS_Project/dummy_filesystem/testfile1, pending
9697, write, /home/sidharth/AOS_Project/dummy_filesystem/testfile1, pending
35517, write, /home/sidharth/AOS_Project/dummy_filesystem/testfile1, commit
35517, write, /home/sidharth/AOS_Project/dummy_filesystem/testfile1, end
9697, write, /home/sidharth/AOS_Project/dummy_filesystem/testfile1, commit
9697, write, /home/sidharth/AOS_Project/dummy_filesystem/testfile1, end
30961, write, /home/sidharth/AOS_Project/dummy_filesystem/testfile1, pending
22212, write, /home/sidharth/AOS_Project/dummy_filesystem/testfile1, pending
33246, write, /home/sidharth/AOS_Project/dummy_filesystem/testfile1, pending
17586, write, /home/sidharth/AOS_Project/dummy_filesystem/testfile1, pending
21918, write, /home/sidharth/AOS_Project/dummy_filesystem/testfile1, pending
17586, write, /home/sidharth/AOS_Project/dummy_filesystem/testfile1, commit
17586, write, /home/sidharth/AOS_Project/dummy_filesystem/testfile1, end
33246, write, /home/sidharth/AOS_Project/dummy_filesystem/testfile1, commit
33246, write, /home/sidharth/AOS_Project/dummy_filesystem/testfile1, end
22212, write, /home/sidharth/AOS_Project/dummy_filesystem/testfile1, commit
22212, write, /home/sidharth/AOS_Project/dummy_filesystem/testfile1, end
30961, write, /home/sidharth/AOS_Project/dummy_filesystem/testfile1, commit
30961, write, /home/sidharth/AOS_Project/dummy_filesystem/testfile1, end
21918, write, /home/sidharth/AOS_Project/dummy_filesystem/testfile1, commit
21918, write, /home/sidharth/AOS_Project/dummy_filesystem/testfile1, end
29719, write, /home/sidharth/AOS_Project/dummy_filesystem/testfile1, pending
29719, write, /home/sidharth/AOS_Project/dummy_filesystem/testfile1, commit
29719, write, /home/sidharth/AOS_Project/dummy_filesystem/testfile1, end
28431, write, /home/sidharth/AOS_Project/dummy_filesystem/testfile1, pending
28431, write, /home/sidharth/AOS_Project/dummy_filesystem/testfile1, commit
28431, write, /home/sidharth/AOS_Project/dummy_filesystem/testfile1, end
380, write, /home/sidharth/AOS_Project/dummy_filesystem/testfile1, pending
380, write, /home/sidharth/AOS_Project/dummy_filesystem/testfile1, commit
380, write, /home/sidharth/AOS_Project/dummy_filesystem/testfile1, end
228, create, /home/sidharth/AOS_Project/dummy_filesystem/testfile2, pending
228, create, /home/sidharth/AOS_Project/dummy_filesystem/testfile2, commit
228, create, /home/sidharth/AOS_Project/dummy_filesystem/testfile2, end
26225, create, /home/sidharth/AOS_Project/dummy_filesystem/chelseafc.docx, pending
26225, create, /home/sidharth/AOS_Project/dummy_filesystem/chelseafc.docx, commit
26225, create, /home/sidharth/AOS_Project/dummy_filesystem/chelseafc.docx, end
16695, create, /home/sidharth/FileSystemAtomicity/dummy_filesystem/chelseafc.docx, pending
16695, create, /home/sidharth/FileSystemAtomicity/dummy_filesystem/chelseafc.docx, commit
16695, create, /home/sidharth/FileSystemAtomicity/dummy_filesystem/chelseafc.docx, end
29014, write, /home/sidharth/FileSystemAtomicity/dummy_filesystem/testfile1, pending
